"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"91","(intercept)",3.18043197011694e-05,0.000391699744531137,-0.000735913072333399,0.000799521711735738,0.9352863500831,"Steiger Filtered",88
"92","(intercept)",0.000644749745654764,0.000474143871122958,-0.000284555165236634,0.00157405465654616,0.173887274429588,"PheWAS T-test Filtered",72
"93","(intercept)",0.000124737874470351,0.000416328361652728,-0.000691250720111561,0.000940726469052264,0.764471478132795,"PheWAS T-test Filtered - Sensitivity",74
"94","(intercept)",0.000150639284331188,0.000504518809508297,-0.000838199411828099,0.00113947798049048,0.765260439384358,"PheWAS PVE Filtered",67
"95","(intercept)",0.000145153287184471,0.000526702613560307,-0.000887164865956848,0.00117747144032579,0.782863991785989,"PheWAS PVE Filtered - Sensitivity",65
"96","(intercept)",0.000580432557127087,0.000603281449822896,-0.000601977357066898,0.00176284247132107,0.335986490885012,"Core GI",52
"10","Penalized MR-Egger",-0.0359474527952892,0.015305182542779,-0.0659450593559472,-0.00594984623463127,0.0188385149164718,"all",88
"101","Penalized MR-Egger",-0.0359474527952892,0.015305182542779,-0.0659450593559472,-0.00594984623463127,0.0188385149164718,"Steiger Filtered",88
"102","Penalized MR-Egger",-0.0769912130137269,0.0197936635606161,-0.115786080714637,-0.0381963453128165,0.00010037240360794,"PheWAS T-test Filtered",72
"103","Penalized MR-Egger",-0.0554800842987633,0.0208628929482505,-0.0963706030906488,-0.0145895655068777,0.00783099666511755,"PheWAS T-test Filtered - Sensitivity",74
"104","Penalized MR-Egger",-0.030774817203272,0.0179921357347471,-0.0660387552483325,0.0044891208417885,0.0871809599936098,"PheWAS PVE Filtered",67
"105","Penalized MR-Egger",-0.0305821776326717,0.0189015476604347,-0.0676285302991909,0.00646417503384758,0.10566860056348,"PheWAS PVE Filtered - Sensitivity",65
"106","Penalized MR-Egger",-0.079394849866985,0.0240623517766538,-0.12655619273256,-0.0322335070014103,0.000968411640788425,"Core GI",52
"11","(intercept)",0.000270179546511075,0.000237526866197444,-0.000195364556596579,0.00073572364961873,0.255342101622002,"all",88
"111","(intercept)",0.000270179546511075,0.000237526866197444,-0.000195364556596579,0.00073572364961873,0.255342101622002,"Steiger Filtered",88
"112","(intercept)",0.000815245348574445,0.000296374207873314,0.000234362575196161,0.00139612812195273,0.00594626785717245,"PheWAS T-test Filtered",72
"113","(intercept)",0.000518174787570389,0.000308553466970107,-8.65788949959905e-05,0.00112292847013677,0.0930803654723626,"PheWAS T-test Filtered - Sensitivity",74
"114","(intercept)",0.000117637393542092,0.000282700864873957,-0.000436446120009187,0.000671720907093372,0.677322429520883,"PheWAS PVE Filtered",67
"115","(intercept)",9.95647185382841e-05,0.000295838836018197,-0.000480268745285633,0.000679398182362201,0.736455750199681,"PheWAS PVE Filtered - Sensitivity",65
"116","(intercept)",0.000707407224435714,0.000361460448940432,-1.0422373232106e-06,0.00141585668619464,0.0503379954627856,"Core GI",52
"12","Robust MR-Egger",-0.0312181258055178,0.0264330703829037,-0.0830259917568213,0.0205897401457858,0.237592658926441,"all",88
"121","Robust MR-Egger",-0.0312181263850803,0.0264330716377944,-0.0830259947959245,0.0205897420257639,0.237592672489444,"Steiger Filtered",88
"122","Robust MR-Egger",-0.0801674365073003,0.0287715141967808,-0.136558568113673,-0.0237763049009272,0.00533056941390075,"PheWAS T-test Filtered",72
"123","Robust MR-Egger",-0.0596045467936277,0.0766720024514769,-0.209878910221089,0.0906698166338338,0.43692487339022,"PheWAS T-test Filtered - Sensitivity",74
"124","Robust MR-Egger",-0.046101329041833,0.0249717901057319,-0.0950451382785611,0.00284248019489507,0.0648724123327886,"PheWAS PVE Filtered",67
"125","Robust MR-Egger",-0.0473949728162758,0.0276080746188331,-0.101505804751683,0.00671585911913151,0.086032734675564,"PheWAS PVE Filtered - Sensitivity",65
"126","Robust MR-Egger",-0.0889551224395472,0.0291442222517599,-0.146076748410427,-0.031833496468667,0.00227141410626275,"Core GI",52
"13","(intercept)",0.00016744882209641,0.000373002332273797,-0.000563622315309674,0.000898519959502494,0.653488178310893,"all",88
"131","(intercept)",0.000167448841254393,0.000373002342935103,-0.000563622317047466,0.000898519999556253,0.653488150515,"Steiger Filtered",88
"132","(intercept)",0.000796659781029516,0.000408305269345142,-3.60384158488861e-06,0.00159692340364392,0.0510406743122058,"PheWAS T-test Filtered",72
"133","(intercept)",0.000524771499444003,0.0010578479475643,-0.00154857237890164,0.00259811537778965,0.619841777701348,"PheWAS T-test Filtered - Sensitivity",74
"134","(intercept)",0.000266342500241028,0.00036881404039411,-0.000456519735924129,0.000989204736406185,0.470196524740534,"PheWAS PVE Filtered",67
"135","(intercept)",0.000270295567142032,0.000404768076375932,-0.000523035284646352,0.00106362641893042,0.50427475872473,"PheWAS PVE Filtered - Sensitivity",65
"136","(intercept)",0.000787279143806131,0.00043228131954385,-5.99766736892664e-05,0.00163453496130153,0.0685735061642279,"Core GI",52
"14","Penalized robust MR-Egger",-0.0322238449538326,0.0126470510355619,-0.0570116094941739,-0.0074360804134914,0.0108363126842241,"all",88
"141","Penalized robust MR-Egger",-0.0322238446764174,0.0126470509421249,-0.0570116090336256,-0.00743608031920921,0.0108363127808555,"Steiger Filtered",88
"142","Penalized robust MR-Egger",-0.07333336197867,0.0312539961372939,-0.13459006878072,-0.01207665517662,0.018957403289686,"PheWAS T-test Filtered",72
"143","Penalized robust MR-Egger",-0.0516311275029783,0.0265197228223112,-0.103608829114693,0.00034657410873646,0.0515472711368468,"PheWAS T-test Filtered - Sensitivity",74
"144","Penalized robust MR-Egger",-0.0296676356129509,0.0135284132974741,-0.0561828384439729,-0.00315243278192892,0.0283083097651025,"PheWAS PVE Filtered",67
"145","Penalized robust MR-Egger",-0.029523318775785,0.014933980829591,-0.058793383347595,-0.000253254203975057,0.0480504209283661,"PheWAS PVE Filtered - Sensitivity",65
"146","Penalized robust MR-Egger",-0.0777441019422617,0.0302888149167437,-0.137109088313479,-0.0183791155710446,0.0102653797443983,"Core GI",52
"15","(intercept)",0.000230649512048791,0.000187228802389467,-0.000136312197503131,0.000597611221600713,0.217981751505302,"all",88
"151","(intercept)",0.000230649509203278,0.00018722880115739,-0.000136312197933819,0.000597611216340374,0.217981754154557,"Steiger Filtered",88
"152","(intercept)",0.000762162602629417,0.000439905809796645,-0.000100036941161935,0.00162436214642077,0.08317414954555,"PheWAS T-test Filtered",72
"153","(intercept)",0.000469974250552763,0.000367141928550839,-0.000249610706621459,0.00118955920772698,0.200513926523792,"PheWAS T-test Filtered - Sensitivity",74
"154","(intercept)",0.000107951843897394,0.000219049774936039,-0.000321377825798847,0.000537281513593634,0.622140636470951,"PheWAS PVE Filtered",67
"155","(intercept)",8.85856486319066e-05,0.000237299866021197,-0.00037651354230582,0.000553684839569633,0.708920131665411,"PheWAS PVE Filtered - Sensitivity",65
"156","(intercept)",0.000686623657118729,0.000445309677179096,-0.000186167272119458,0.00155941458635692,0.123097532543019,"Core GI",52
