"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"102","Penalized MR-Egger",-0.215519454280013,0.209209969292794,-0.62556345930062,0.194524550740595,0.302935548769564,"PheWAS T-test Filtered",50
"103","Penalized MR-Egger",-0.548852981158289,0.0871654641650166,-0.719694151617438,-0.37801181069914,3.04089420311016e-10,"PheWAS T-test Filtered - Sensitivity",52
"104","Penalized MR-Egger",0.526815265587358,0.19813236554102,0.138482964955234,0.915147566219482,0.0078394914200397,"PheWAS PVE Filtered",50
"105","Penalized MR-Egger",0.538756552398889,0.199568610875856,0.147609262637523,0.929903842160255,0.00694217066944214,"PheWAS PVE Filtered - Sensitivity",49
"106","Penalized MR-Egger",-0.331159819913794,0.327754629368532,-0.973547089242391,0.311227449414802,0.312308740080191,"Core GI",36
"11","(intercept)",0.000694144056320079,0.00207018961359664,-0.00336335302749824,0.00475164114013839,0.73739534011657,"all",65
"111","(intercept)",0.00033151053028797,0.00213278455898153,-0.00384867039209898,0.00451169145267492,0.876477963823473,"Steiger Filtered",63
"112","(intercept)",0.00371347921350378,0.00275804446361394,-0.00169218860293963,0.0091191470299472,0.178167924085214,"PheWAS T-test Filtered",50
"113","(intercept)",0.00800934521709005,0.00124852462595023,0.00556228191641627,0.0104564085177638,1.40778722013124e-10,"PheWAS T-test Filtered - Sensitivity",52
"114","(intercept)",-0.00508802422695997,0.00266474513366089,-0.0103108287169137,0.000134780262993755,0.0562124521105531,"PheWAS PVE Filtered",50
"115","(intercept)",-0.00518006346546252,0.00267946136919831,-0.0104317112470576,7.15843161325511e-05,0.0532056481779835,"PheWAS PVE Filtered - Sensitivity",49
"116","(intercept)",0.00565974838828795,0.00423704173338599,-0.00264470081014176,0.0139641975867177,0.181621748923284,"Core GI",36
"12","Robust MR-Egger",-0.260175235904971,0.435009375150755,-1.11277794413772,0.592427472327781,0.549779148112893,"all",65
"121","Robust MR-Egger",-0.298829485054719,NA,NA,NA,NA,"Steiger Filtered",63
"122","Robust MR-Egger",-0.181563723911624,0.580916106036788,-1.32013836978298,0.957010921959731,0.754624669706866,"PheWAS T-test Filtered",50
"123","Robust MR-Egger",-0.495727647360079,0.152109309131624,-0.793856414971332,-0.197598879748826,0.00111796836195421,"PheWAS T-test Filtered - Sensitivity",52
"124","Robust MR-Egger",0.537274673455103,0.720713320315765,-0.875297477542076,1.94984682445228,0.455983855044953,"PheWAS PVE Filtered",50
"125","Robust MR-Egger",0.532995640287188,0.705544515925018,-0.849846200415593,1.91583748098997,0.449985792957272,"PheWAS PVE Filtered - Sensitivity",49
"126","Robust MR-Egger",-0.551982394469439,0.710974435925342,-1.94546668281179,0.841501893872912,0.437527919496982,"Core GI",36
"13","(intercept)",0.00464313484509496,0.00583825144757146,-0.00679962772483393,0.0160858974150239,0.426441656384069,"all",65
"131","(intercept)",0.00515293142591609,NA,NA,NA,NA,"Steiger Filtered",63
"132","(intercept)",0.00325661944181293,0.00734219389204704,-0.0111338161541092,0.0176470550377351,0.657369011887983,"PheWAS T-test Filtered",50
"133","(intercept)",0.00738351947072576,0.00209698542085154,0.00327350356975118,0.0114935353717003,0.000429896481237257,"PheWAS T-test Filtered - Sensitivity",52
"134","(intercept)",-0.00597728115424333,0.00939202002691158,-0.0243853021490689,0.0124307398405823,0.524501892071108,"PheWAS PVE Filtered",50
"135","(intercept)",-0.00590716365349539,0.00918365367977144,-0.0239067941123362,0.0120924668053454,0.52007754742402,"PheWAS PVE Filtered - Sensitivity",49
"136","(intercept)",0.00800352817873082,0.00913806703108311,-0.00990675409050494,0.0259138104479666,0.381114430077605,"Core GI",36
"14","Penalized robust MR-Egger",0.430982345151177,0.299397984062701,-0.155826920655614,1.01779161095797,0.150009905642746,"all",65
"141","Penalized robust MR-Egger",0.430915661857552,0.262158199934271,-0.0829049682654688,0.944736291980574,0.100233275953529,"Steiger Filtered",63
"142","Penalized robust MR-Egger",-0.186126593376089,NA,NA,NA,NA,"PheWAS T-test Filtered",50
"143","Penalized robust MR-Egger",-0.620008888865049,0.10089630449524,-0.817762011848906,-0.422255765881193,7.99580401888988e-10,"PheWAS T-test Filtered - Sensitivity",52
"144","Penalized robust MR-Egger",0.388402164242562,0.494985361613237,-0.581751317393916,1.35855564587904,0.432644706227812,"PheWAS PVE Filtered",50
"145","Penalized robust MR-Egger",0.461788937596819,0.452575051684672,-0.425241864006492,1.34881973920013,0.307558324999801,"PheWAS PVE Filtered - Sensitivity",49
"146","Penalized robust MR-Egger",0.381798744304804,0.409480705386274,-0.42076869061635,1.18436617922596,0.351131188915631,"Core GI",36
"15","(intercept)",-0.00366742219332847,0.00389661169134308,-0.0113046407700986,0.00396979638344167,0.34661141417722,"all",65
"151","(intercept)",-0.00379073352760547,0.00351799464291821,-0.01068587632553,0.00310440927031907,0.281244982256281,"Steiger Filtered",63
"152","(intercept)",0.00366498364484926,NA,NA,NA,NA,"PheWAS T-test Filtered",50
"153","(intercept)",0.0095527658702205,0.00262521893169267,0.00440743131257014,0.0146981004278708,0.000273863122747242,"PheWAS T-test Filtered - Sensitivity",52
"154","(intercept)",-0.00225561224774568,0.00505113502855511,-0.0121556549847624,0.00764443048927103,0.655196014688318,"PheWAS PVE Filtered",50
"155","(intercept)",-0.00291900935005275,0.00536113904217787,-0.0134266487888329,0.00758863008872744,0.586114240608013,"PheWAS PVE Filtered - Sensitivity",49
"156","(intercept)",-0.00182337451376778,0.00562291302634623,-0.0128440815336075,0.00919733250607195,0.74572925373256,"Core GI",36
