"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"41","IVW",-0.0912681764178867,0.0506779367960704,-0.190595107348982,0.00805875451320842,0.0717115507322914,"all",75
"42","IVW",-0.0912681764178867,0.0506779367960704,-0.190595107348982,0.00805875451320842,0.0717115507322914,"Steiger Filtered",75
"43","IVW",-0.116288492424847,0.031623512076825,-0.178269437160091,-0.0543075476896025,0.000235734704992608,"PheWAS T-test Filtered",59
"44","IVW",-0.116288492424847,0.031623512076825,-0.178269437160091,-0.0543075476896025,0.000235734704992608,"PheWAS T-test Filtered - Sensitivity",59
"45","IVW",-0.0836649941001799,0.0794700533513302,-0.239423436518264,0.0720934483179039,0.292438883720309,"PheWAS PVE Filtered",47
"46","IVW",-0.079832772582723,0.0808344105536594,-0.23826530597942,0.078599760813974,0.323344290720111,"PheWAS PVE Filtered - Sensitivity",46
"47","IVW",-0.130106135966357,0.0522462981845712,-0.232506998733657,-0.027705273199057,0.0127654698229936,"Core GI",31
"51","Penalized IVW",-0.121695187495346,0.0165311346676336,-0.154095616067489,-0.0892947589232021,1.81752865555163e-13,"all",75
"52","Penalized IVW",-0.121695187495346,0.0165311346676336,-0.154095616067489,-0.0892947589232021,1.81752865555163e-13,"Steiger Filtered",75
"53","Penalized IVW",-0.138206708857061,0.0187626034696068,-0.174980735913697,-0.101432681800426,1.75727477626895e-13,"PheWAS T-test Filtered",59
"54","Penalized IVW",-0.138206708857061,0.0187626034696068,-0.174980735913697,-0.101432681800426,1.75727477626895e-13,"PheWAS T-test Filtered - Sensitivity",59
"55","Penalized IVW",-0.105448362112999,0.0239154844895168,-0.152321850385278,-0.0585748738407199,1.03749010890468e-05,"PheWAS PVE Filtered",47
"56","Penalized IVW",-0.0874657544796097,0.0237690182605889,-0.134052174218239,-0.0408793347409806,0.000233396881659439,"PheWAS PVE Filtered - Sensitivity",46
"57","Penalized IVW",-0.132424483301167,0.0294755576898085,-0.190195514797425,-0.0746534518049101,7.03297961411977e-06,"Core GI",31
"61","Robust IVW",-0.0992187567213275,0.0425325353854881,-0.18258099424806,-0.0158565191945954,0.0196600543814509,"all",75
"62","Robust IVW",-0.0992187567213275,0.0425325353854881,-0.18258099424806,-0.0158565191945954,0.0196600543814509,"Steiger Filtered",75
"63","Robust IVW",-0.11495212385391,0.0318502915733008,-0.177377548234679,-0.0525266994731407,0.000307215181299219,"PheWAS T-test Filtered",59
