"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"53","Penalized IVW",-0.138206708857061,0.0187626034696068,-0.174980735913697,-0.101432681800426,1.75727477626895e-13,"PheWAS T-test Filtered",59
"54","Penalized IVW",-0.105448362112999,0.0239154844895168,-0.152321850385278,-0.0585748738407199,1.03749010890468e-05,"PheWAS PVE Filtered",47
"55","Penalized IVW",-0.132424483301167,0.0294755576898085,-0.190195514797425,-0.0746534518049101,7.03297961411977e-06,"Core GI",31
"6","Robust IVW",-0.0992187567213275,0.0425325353854881,-0.18258099424806,-0.0158565191945954,0.0196600543814509,"all",75
"61","Robust IVW",-0.0992187567213275,0.0425325353854881,-0.18258099424806,-0.0158565191945954,0.0196600543814509,"Steiger Filtered",75
"62","Robust IVW",-0.11495212385391,0.0318502915733008,-0.177377548234679,-0.0525266994731407,0.000307215181299219,"PheWAS T-test Filtered",59
"63","Robust IVW",-0.0990034368840495,0.0905512626965647,-0.276480650523942,0.0784737767558426,0.274243968211071,"PheWAS PVE Filtered",47
"64","Robust IVW",-0.126241130382033,0.0516370647103574,-0.227447917481698,-0.0250343432823688,0.0144941557325826,"Core GI",31
"7","Penalized robust IVW",-0.123784297651458,0.020643360685035,-0.164244541113996,-0.0833240541889189,2.01833018589363e-09,"all",75
"71","Penalized robust IVW",-0.123784297651458,0.020643360685035,-0.164244541113996,-0.0833240541889189,2.01833018589363e-09,"Steiger Filtered",75
"72","Penalized robust IVW",-0.138649781377744,0.0209858155613445,-0.179781224064179,-0.0975183386913085,3.92628185982759e-11,"PheWAS T-test Filtered",59
"73","Penalized robust IVW",-0.132832047517787,0.113196705943437,-0.354693514335495,0.0890294192999219,0.240610535271081,"PheWAS PVE Filtered",47
"74","Penalized robust IVW",-0.138993315222732,0.0380455402619982,-0.213561203908617,-0.0644254265368472,0.000258850548985502,"Core GI",31
"8","MR-Egger",0.261670347246146,0.219339355116599,-0.168226889174629,0.691567583666922,0.232872057450966,"all",75
"81","MR-Egger",0.261670347246146,0.219339355116599,-0.168226889174629,0.691567583666922,0.232872057450966,"Steiger Filtered",75
"82","MR-Egger",0.0852416781949757,0.1387914758228,-0.186784615778874,0.357267972168826,0.539102436090597,"PheWAS T-test Filtered",59
"83","MR-Egger",0.521334700414987,0.374286915662378,-0.212254174167855,1.25492357499783,0.16365774484911,"PheWAS PVE Filtered",47
"84","MR-Egger",0.245879212524931,0.279717537217793,-0.302357086266185,0.794115511316046,0.379386743217992,"Core GI",31
"9","(intercept)",-0.0057406151183441,0.00347330450948556,-0.0125481668642764,0.00106693662758816,0.098375241957984,"all",75
"91","(intercept)",-0.0057406151183441,0.00347330450948556,-0.0125481668642764,0.00106693662758816,0.098375241957984,"Steiger Filtered",75
"92","(intercept)",-0.00321021341341152,0.00215389883901872,-0.00743177756423085,0.00101135073740781,0.136113897299411,"PheWAS T-test Filtered",59
"93","(intercept)",-0.00967767597440527,0.00585565235805639,-0.0211545437021828,0.00179919175337229,0.0983905670584164,"PheWAS PVE Filtered",47
"94","(intercept)",-0.00571503765529383,0.00417905379791004,-0.0139058325886528,0.00247575727806518,0.171455027346502,"Core GI",31
"10","Penalized MR-Egger",0.237785331413845,0.0903946520591758,0.060615068982831,0.414955593844859,0.00852532674206907,"all",75
"101","Penalized MR-Egger",0.237785331413845,0.0903946520591758,0.060615068982831,0.414955593844859,0.00852532674206907,"Steiger Filtered",75
"102","Penalized MR-Egger",-0.0158129798040528,0.0863639373374148,-0.18508318654846,0.153457226940354,0.854721891746296,"PheWAS T-test Filtered",59
"103","Penalized MR-Egger",0.470733431100067,0.154578005879601,0.167766106774028,0.773700755426106,0.00232463172941544,"PheWAS PVE Filtered",47
"104","Penalized MR-Egger",0.23293713414621,0.188917640531996,-0.137334637340787,0.603208905633207,0.217572439733733,"Core GI",31
"11","(intercept)",-0.00542898853582894,0.00136557775075942,-0.00810547174540662,-0.00275250532625126,7.02025487144819e-05,"all",75
"111","(intercept)",-0.00542898853582894,0.00136557775075942,-0.00810547174540662,-0.00275250532625126,7.02025487144819e-05,"Steiger Filtered",75
"112","(intercept)",-0.00195930203826701,0.00133813054384066,-0.00458198971080769,0.000663385634273668,0.143137004421566,"PheWAS T-test Filtered",59
"113","(intercept)",-0.00889394258937137,0.00225802181556479,-0.0133195840241841,-0.00446830115455865,8.18831640538864e-05,"PheWAS PVE Filtered",47
"114","(intercept)",-0.00573599785701488,0.00279961274142815,-0.0112231380008735,-0.000248857713156254,0.0404763902996992,"Core GI",31
"12","Robust MR-Egger",0.232173025713541,0.235252663191111,-0.228913721408168,0.693259772835251,0.323687136837455,"all",75
"121","Robust MR-Egger",0.232173025879041,0.235252663601738,-0.228913722047483,0.693259773805565,0.323687137337109,"Steiger Filtered",75
"122","Robust MR-Egger",0.0392898402766168,0.149080320454605,-0.252902218618099,0.331481899171332,0.792128128793082,"PheWAS T-test Filtered",59
"123","Robust MR-Egger",0.694760552794191,0.54966280672766,-0.382558752033222,1.7720798576216,0.206238669384518,"PheWAS PVE Filtered",47
"124","Robust MR-Egger",0.20022940438212,0.321813226869048,-0.430512930029831,0.830971738794071,0.533816056621107,"Core GI",31
"13","(intercept)",-0.00522444320799279,0.00342293102424985,-0.0119332647370873,0.0014843783211017,0.12693345343374,"all",75
"131","(intercept)",-0.00522444320698751,0.00342293103037155,-0.0119332647480803,0.00148437833410531,0.126933454186344,"Steiger Filtered",75
"132","(intercept)",-0.00247351713244691,0.00227021114697723,-0.00692304921782364,0.00197601495292982,0.275909753264814,"PheWAS T-test Filtered",59
"133","(intercept)",-0.0120086343066227,0.0076786511997539,-0.0270585141079856,0.00304124549474024,0.117841308554577,"PheWAS PVE Filtered",47
"134","(intercept)",-0.00501067970615013,0.00484231593011409,-0.0145014445309383,0.00448008511863805,0.300776678708996,"Core GI",31
"14","Penalized robust MR-Egger",0.175610983635409,0.241486186576071,-0.29769324481761,0.648915212088429,0.467097793239028,"all",75
"141","Penalized robust MR-Egger",0.175610980256181,0.241486190100288,-0.297693255104175,0.648915215616538,0.467097808310333,"Steiger Filtered",75
"142","Penalized robust MR-Egger",-0.0263061906620545,0.0855552804793393,-0.193991459088782,0.141379077764673,0.758481130381967,"PheWAS T-test Filtered",59
"143","Penalized robust MR-Egger",0.448676948879416,0.490269105043692,-0.512232839738906,1.40958673749774,0.360105204836535,"PheWAS PVE Filtered",47
"144","Penalized robust MR-Egger",0.231525613042733,0.197182519776233,-0.15494502409954,0.617996250185006,0.240327317950327,"Core GI",31
"15","(intercept)",-0.00438783776456718,0.00336587105787205,-0.0109848238146021,0.00220914828546778,0.192361056245119,"all",75
"151","(intercept)",-0.00438783771073143,0.00336587106608992,-0.0109848237768731,0.00220914835541025,0.192361062786983,"Steiger Filtered",75
"152","(intercept)",-0.00178276137098393,0.00128946857075253,-0.00431007332885522,0.000744550586887366,0.166801319216318,"PheWAS T-test Filtered",59
