"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"134","(intercept)",0.000787279143806098,0.000432281319550357,-5.99766737020528e-05,0.00163453496131425,0.068573506168405,"Core GI",52
"14","Penalized robust MR-Egger",-0.0322238440312519,0.0126470507028458,-0.0570116079194818,-0.00743608014302213,0.0108363128680413,"all",88
"141","Penalized robust MR-Egger",-0.0322238444657344,0.0126470507574621,-0.0570116084610101,-0.00743608047045875,0.0108363121427089,"Steiger Filtered",88
"142","Penalized robust MR-Egger",-0.07333336197867,0.0312539961372939,-0.13459006878072,-0.01207665517662,0.018957403289686,"PheWAS T-test Filtered",72
"143","Penalized robust MR-Egger",-0.0296676356129521,0.0135284132965588,-0.0561828384421802,-0.00315243278372394,0.0283083097544066,"PheWAS PVE Filtered",67
"144","Penalized robust MR-Egger",-0.0777441019422609,0.0302888149154206,-0.137109088310885,-0.0183791155736369,0.0102653797410801,"Core GI",52
"15","(intercept)",0.000230649502585665,0.000187228797226794,-0.000136312196847605,0.000597611202018935,0.217981757697256,"all",88
"151","(intercept)",0.000230649507042264,0.000187228794710993,-0.000136312187460125,0.000597611201544654,0.217981742620565,"Steiger Filtered",88
"152","(intercept)",0.000762162602629417,0.000439905809796645,-0.000100036941161935,0.00162436214642077,0.08317414954555,"PheWAS T-test Filtered",72
"153","(intercept)",0.000107951843897334,0.000219049774912952,-0.000321377825753658,0.000537281513548326,0.62214063643444,"PheWAS PVE Filtered",67
"154","(intercept)",0.000686623657118719,0.000445309677057231,-0.000186167271880616,0.00155941458611805,0.12309753244047,"Core GI",52
